ID,Award Name,Organization,Purpose,Level of Study,Award Type,Award Amount,Deadline
2015439,Learning Beyond Borders Scholarship 2024,Ling App (Simya Solutions Ltd.),"To support students accepted into study abroad programs outside of the
U.S., Canada, Australia, and the UK, helping them overcome financial
challenges and promoting global education.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$500
$1,000",July
9992363,Leland Speed Scholarship,North Carolina Community Foundation,To support Highlands Falls Country Club employees and their children who are pursuing undergraduate education.,"Associate Degree
Bachelor's Degree",Scholarship,N/A,July
9991909,Lillian and Murray Slatkin Fellowship,Organization for Tropical Studies,To assist thesis-related field research in tropical biology and similar fields.,Graduate Degree,Fellowship,"$340
$5,200",July
9993734,LionsDeal.com Scholarships,Lionsdeal.com,To help students a year (bi-annually) enrolled in college pursuing a career in the foodservice and hospitality industry.,Bachelor's Degree,Scholarship,"$1,200 ",July
9992680,Loan for Service,Native Forward Scholars Fund,To provide financial assistance and support to Native American students who are seeking graduate and professional degrees.,"Bachelor's Degree
Graduate Degree",Loan,"$20,000 ",July
9993726,Logojoy Student Entrepreneur Scholarship,Looka Inc.,To help a student entrepreneur in the fields of business and design.,Bachelor's Degree,Scholarship,"$1,000 ",July
9997071,Lydia B. Raymond Scholarship,Community Foundation of the Fox River Valley,To support public school graduates from Aurora who wish to pursue postsecondary education.,Bachelor's Degree,Scholarship,"$1,000 ",July
9992315,Lynwood Allen Robinson Memorial Scholarship,North Carolina Community Foundation,To support graduating seniors from Wayne County who wish to pursue postsecondary education.,"Associate Degree
Bachelor's Degree",Scholarship,N/A,July
9992385,Margaret Gragg Scholarship,North Carolina Community Foundation,To support female graduating seniors from Watauga County who are pursuing education or teaching degrees/certificates.,"Associate Degree
Bachelor's Degree",Scholarship,N/A,July
9993595,Marine Corps League National Scholarship,Marine Corps League Foundation,To grant scholarship to qualified applicants pursuing full-time undergraduate or technical training at a recognized institution.,Bachelor's Degree,Scholarship,N/A,July
9995487,Marshall Memorial Fellowship,German Marshall Fund of the United States,"To provide a unique opportunity for emerging leaders from U.S. and Europe to explore policies, institutions and culture on the other side of the Atlantic.",N/A,Fellowship,N/A,July
9992346,Medlin Charitable Trust Award to Roanoke Rapids HS Graduates,North Carolina Community Foundation,To support a graduate of Roanoke Rapids High School who is pursing postsecondary education.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,N/A,July
9998029,Mejuri Scholarship Fund,Black Business and Professional Association,To support Black Canadian women or non-binary people who are pursuing postsecondary studies.,Bachelor's Degree,Scholarship,N/A,July
9994577,Meredith P. Crawford Fellowship in I-O Psychology,Human Resources Research Organization,"To provide financial support while the student completes dissertation in the field of Industrial-Organizational (I-O) Psychology, or in a field congruent with the objectives of the Society for Industrial Psychology.",Graduate Degree,Fellowship,"$12,000 ",July
9993319,Michael Giannulis Scholarship,Michael Giannulis,To assist candidates from middle-class or low-income families afford higher education.,Bachelor's Degree,Scholarship,"$1,000 ",July
9993299,Michigan Realtors Scholarship Trust,Michigan Realtors,"To recognize college students majoring in finance, marketing, business, law, or other such fields of study applicable to a career in real estate.","Bachelor's Degree
Professional Development",Scholarship,"$3,000 ",July
9993285,Micklin Law Group Scholarship,The Micklin Law Group LLC,To help members of the next generation afford college and make their mark on society.,Bachelor's Degree,Scholarship,"$1,000 ",July
9998243,Milton Weintraub Scholarship,Association of Theatrical Press Agents and Managers,"To provide financial assistance to members, their children and other immediate relatives pursuing higher education.","Bachelor's Degree
Graduate Degree",Scholarship,"$750
$1,000
$1,500",July
9995150,Modern Enigma Society Memorial Scholarship,Greater Kansas City Community Foundation,To provide scholarships to members of the Modern Enigma Society who intend to further their education at a postsecondary institution.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,N/A,July
9989040,Molitoris Leadership Scholarship for Undergraduates,Women's Transportation Seminar,"To women pursuing undergraduate studies in transportation or a related field who demonstrate leadership skills, ability, and interest.",Bachelor's Degree,"Prize
Scholarship","$5,000 ",July
9993207,MPOWER Financing's Global Citizen Scholarship,MPOWER Financing,To provide for international and DACA students enrolled at schools MPOWER supports.,Bachelor's Degree,Scholarship,"$1,000
$2,000
$5,000",July
2015291,Narcotics.com Scholarship for Behavioral Health Majors,Narcotics.com,To raise awareness for substance abuse and mental health issues.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$250
$500
$1,500",July
9993065,NASLR Mined Land Reclamation Educational Grant,National Association of State Land Reclamationists,To provide of promoting and advancing the practice of mined land reclamation.,"Bachelor's Degree
Graduate Degree",Grant,"$2,000 ",July
9999251,National High School Oratorical Contest Scholarship,The American Legion,To provide financial support for the future education of deserving high school students.,"Bachelor's Degree
High School",Scholarship,"$20,000
$22,500
$25,000",July
9995648,National Welders James A. Turner Jr. Scholarship Endowment Fund,Foundation for the Carolinas,To provide financial assistance for graduating high school seniors in Mecklenburg County intending to attend an accredited college or vocational school in Mecklenburg County.,"Bachelor's Degree
Vocational",Scholarship,N/A,July
9992977,NCSS Grant for Geographic Literacy,National Council for the Social Studies,"To promote geography education in the schools; to enhance the geographic literacy of students at the classroom, district, or statewide level; and to encourage the integration of geography into the social studies curriculum/classroom.",N/A,Grant,"$2,500 ",July
9998044,Ned and Myrna Blair Scholarship,Black Business and Professional Association,"To support Black Canadian students pursuing studies in African, Caribbean, or Black studies.",Bachelor's Degree,Scholarship,N/A,July
9992914,NFPA PCCE Scholarship,National Federation of Paralegal Associations,To recognize excellence in individual paralegals and paralegal associations.,N/A,Scholarship,N/A,July
9992896,NHFA Scholarships,National Hispanic Foundation for the Arts,"To support the education of Hispanic youth in the media, arts, and communications industry.",Graduate Degree,Scholarship,N/A,July
9992449,Nikko Cosmetic Surgery Center Annual Breast Cancer Survivor,Nikko Cosmetic Surgery Center,To support her in pursuing her degree in Nursing.,Bachelor's Degree,Scholarship,"$1,000 ",July
9990103,"Norman J. Tschantz, Walter C. Deuble and Dominic J. Bagnoli, Jr.",Stark Community Foundation,To assist applicants who have served at least one year as a caddy at Congress Lake Club.,"Bachelor's Degree
High School",Scholarship,$500 ,July
9992690,NWF Campus Ecology Fellowships,National Wildlife Federation,To assist students who are working on projects ranging from campus-wide energy audits to implementing sustainable forestry practices.,"Bachelor's Degree
Graduate Degree",Fellowship,"$3,000 ",July
9991919,OAS Scholarships for Professional Development - Radio Spectrum,Organization of American States,"To support students who are completing their short or medium-term, intensive, non-academic courses and training programs offered by its partner offering institutions around the world.",Professional Development,Scholarship,N/A,July
2015575,Office Chairs Unlimited $2000 Scholarship,Office Chairs Unlimited,"Every year, Office Chairs Unlimited provides financial assistance in the amount of $2000 to help alleviate the financial burden of higher education to a selected student. All undergraduate students enrolled in an accredited college or university are eligible to apply. All applicants are required to submit a 1000-1500 word essay or 1-2 minute video.","Associate Degree
Bachelor's Degree",Scholarship,"$2,000 ",July
